,,0
19,2012,283698
19,2016,285798
19,2020,287371
20,Country,Belarus
20,Country Code,BLR
20,1960,8198000
20,1964,8524224
20,1968,8874552
20,1972,9188968
20,1976,9411000
20,1980,9643000
20,1984,9910000
20,1988,10140000
20,1992,10216000
20,1996,10160000
20,2000,9979610
20,2004,9730146
20,2008,9527985
20,2012,9464495
20,2016,9501534
20,2020,9398861
21,Country,Belgium
21,Country Code,BEL
21,1960,9153489
21,1964,9378113
21,1968,9618756
21,1972,9711115
21,1976,9818227
21,1980,9859242
21,1984,9855372
21,1988,9901664
21,1992,10045158
21,1996,10156637
21,2000,10251250
21,2004,10421137
21,2008,10709973
21,2012,11106932
21,2016,11331422
21,2020,11555997
22,Country,Belize
22,Country Code,BLZ
22,1960,92068
22,1964,103069
22,1968,116065
22,1972,127152
22,1976,135143
22,1980,144142
22,1984,160341
22,1988,179023
22,1992,194324
22,1996,213660
22,2000,247310
22,2004,276516
22,2008,306822
22,2012,338001
22,2016,368399
22,2020,397621
23,Country,Benin
23,Country Code,BEN
23,1960,2431617
23,1964,2585961
23,1968,2791588
23,1972,3043563
23,1976,3347169
23,1980,3717161
23,1984,4156819
23,1988,4672844
23,1992,5331805
23,1996,6094272
23,2000,6865946
23,2004,7750003
23,2008,8696915
23,2012,9729254
23,2016,10872072
23,2020,12123198
24,Country,Bermuda
24,Country Code,BMU
24,1960,44400
24,1964,48900
24,1968,53000
24,1972,54200
24,1976,53200
24,1980,54670
24,1984,56423
24,1988,58347
24,1992,58595
24,1996,60129
24,2000,61833
24,2004,63740
24,2008,65273
24,2012,64798
24,2016,64554
24,2020,63903
25,Country,Bhutan
25,Country Code,BTN
25,1960,223284
25,1964,246961
25,1968,278731
25,1972,316822
25,1976,359721
25,1980,406883
25,1984,451471
25,1988,509532
25,1992,534525
25,1996,541471
25,2000,591014
25,2004,638809
25,2008,671611
25,2012,701582
25,2016,736706
25,2020,771612
26,Country,Bolivia
26,Country Code,BOL
26,1960,3656961
26,1964,3957759
26,1968,4297522
26,1972,4682392
26,1976,5113458
26,1980,5579932
26,1984,6054126
26,1988,6580318
26,1992,7160917
26,1996,7779268
26,2000,8418270
26,2004,9069044
26,2008,9721457
26,2012,10377677
26,2016,11031822
26,2020,11673029
27,Country,Bosnia and Herzegovina
27,Country Code,BIH
27,1960,3225664
27,1964,3478999
27,1968,3675448
27,1972,3851153
27,1976,4025271
27,1980,4179850
27,1984,4350566
27,1988,4509462
27,1992,4233673
27,1996,3764419
27,2000,3751176
27,2004,3764194
27,2008,3754261
27,2012,3604972
27,2016,3386263
27,2020,3280815
28,Country,Botswana
28,Country Code,BWA
28,1960,502733
28,1964,547870
28,1968,596946
28,1972,667096
28,1976,769982
28,1980,897860
28,1984,1031439
28,1988,1200073
28,1992,1363541
28,1996,1504724
28,2000,1643333
28,2004,1765533
28,2008,1915636
28,2012,2039551
28,2016,2159925
28,2020,2351625
29,Country,Brazil
29,Country Code,BRA
29,1960,72179235
29,1964,81064572
29,1968,90387079
29,1972,99859388
29,1976,109790943
29,1980,120694012
29,1984,132383569
29,1988,143627505
29,1992,154259382
29,1996,164614682
29,2000,174790339
29,2004,184006479
29,2008,192030362
29,2012,199287292
29,2016,206163056
29,2020,212559409
30,Country,British Virgin Islands
30,Country Code,VGB
30,1960,8053
30,1964,8644
30,1968,9427
30,1972,10210
30,1976,10821
30,1980,11471
30,1984,13317
30,1988,16155
30,1992,18443
30,1996,19508
30,2000,20313
30,2004,22329
30,2008,26096
30,2012,28654
30,2016,29355
30,2020,30237
31,Country,Brunei Darussalam
31,Country Code,BRN
31,1960,81707
31,1964,97819
31,1968,117897
31,1972,142015
31,1976,168173
31,1980,193880
31,1984,218176
31,1988,244405
31,1992,273888
31,1996,304620
31,2000,333166
31,2004,359434
31,2008,379418
31,2012,398997
31,2016,419791
31,2020,437483
32,Country,Bulgaria
32,Country Code,BGR
32,1960,7867374
32,1964,8144340
32,1968,8369603
32,1972,8576200
32,1976,8758599
32,1980,8861535
32,1984,8960679
32,1988,8981446
32,1992,8540164
32,1996,8362826
32,2000,8170172
32,2004,7716860
32,2008,7492561
32,2012,7305888
32,2016,7127822
32,2020,6927288
33,Country,Burkina Faso
33,Country Code,BFA
33,1960,4829289
33,1964,5098891
33,1968,5434046
33,1972,5825174
33,1976,6274032
33,1980,6822837
33,1984,7531239
33,1988,8356313
33,1992,9297110
33,1996,10372734
33,2000,11607951
33,2004,13030576
33,2008,14689725
33,2012,16571252
33,2016,18646350
33,2020,20903278
34,Country,Burundi
34,Country Code,BDI
34,1960,2797925
34,1964,3026292
34,1968,3336930
34,1972,3569655
34,1976,3770870
34,1980,4157296
34,1984,4621096
34,1988,5168703
34,1992,5685569
34,1996,6060110
34,2000,6378871
34,2004,7131688
34,2008,8126104
34,2012,9245992
34,2016,10488002
34,2020,11890781
35,Country,Cabo Verde
35,Country Code,CPV
35,1960,201770
35,1964,222949
35,1968,256169
35,1972,271841
35,1976,271345
35,1980,283848
35,1984,306140
35,1988,325744
35,1992,355763
35,1996,395533
35,2000,428178
35,2004,456619
35,2008,480846
35,2012,505241
35,2016,531140
35,2020,555988
36,Country,Cambodia
36,Country Code,KHM
36,1960,5722372
36,1964,6331443
36,1968,6779778
36,1972,7302114
36,1976,7404687
36,1980,6693759
36,1984,7447844
36,1988,8435909
36,1992,9623899
36,1996,10982919
36,2000,12155241
36,2004,13066475
36,2008,13883835
36,2012,14780454
36,2016,15766290
36,2020,16718971
37,Country,Cameroon
37,Country Code,CMR
37,1960,5176920
37,1964,5643039
37,1968,6201410
37,1972,6867170
37,1976,7664398
37,1980,8621409
37,1984,9757849
37,1988,11075423
37,1992,12499499
37,1996,13970812
37,2000,15513944
37,2004,17259322
37,2008,19252674
37,2012,21485267
37,2016,23926549
37,2020,26545864
38,Country,Canada
38,Country Code,CAN
38,1960,17909009
38,1964,19325000
38,1968,20744000
38,1972,22218463
38,1976,23449808
38,1980,24515667
38,1984,25607053
38,1988,26791747
38,1992,28371264
38,1996,29610218
38,2000,30685730
38,2004,31940655
38,2008,33247118
38,2012,34714222
38,2016,36109487
38,2020,38005238
39,Country,Caribbean small states
39,Country Code,CSS
39,1960,4194711
39,1964,4508189
39,1968,4773890
39,1972,5012600
39,1976,5246547
39,1980,5482191
39,1984,5751508
39,1988,5930153
39,1992,6112784
39,1996,6331277
39,2000,6513486
39,2004,6696985
39,2008,6878973
39,2012,7072640
39,2016,7269385
39,2020,7442291
40,Country,Cayman Islands
40,Country Code,CYM
40,1960,7870
40,1964,8299
40,1968,8638
40,1972,10135
40,1976,13023
40,1980,16207
40,1984,18662
40,1988,22775
40,1992,27784
40,1996,34065
40,2000,42305
40,2004,47899
40,2008,53835
40,2012,58963
40,2016,62564
40,2020,65720
41,Country,Central African Republic
41,Country Code,CAF
41,1960,1501668
41,1964,1608618
41,1968,1744198
41,1972,1867786
41,1976,1997017
41,1980,2199359
41,1984,2478382
41,1988,2693974
41,1992,2959236
41,1996,3308235
41,2000,3640421
41,2004,3959883
41,2008,4273368
41,2012,4436411
41,2016,4537683
41,2020,4829764
42,Country,Central Europe and the Baltics
42,Country Code,CEB
42,1960,91401764
42,1964,94715795
42,1968,97884022
42,1972,100357161
42,1976,103776068
42,1980,106541316
42,1984,108838073
42,1988,110686740
42,1992,110111454
42,1996,109626194
42,2000,108447824
42,2004,106331716
42,2008,105001883
42,2012,103935318
42,2016,102994278
42,2020,102246330
43,Country,Chad
43,Country Code,TCD
43,1960,3001604
43,1964,3246527
43,1968,3499370
43,1972,3815253
43,1976,4173131
43,1980,4514427
43,1984,4957561
43,1988,5589624
43,1992,6356741
43,1996,7250974
43,2000,8355654
43,2004,9734761
43,2008,11183589
43,2012,12784748
43,2016,14561658
43,2020,16425859
44,Country,Channel Islands
44,Country Code,CHI
44,1960,109419
44,1964,113777
44,1968,118725
44,1972,123611
44,1976,126908
44,1980,128204
44,1984,132445
44,1988,138250
44,1992,142006
44,1996,144348
44,2000,148439
44,2004,150722
44,2008,156441
44,2012,162051
44,2016,166922
44,2020,173859
45,Country,Chile
45,Country Code,CHL
45,1960,8132988
45,1964,8821855
45,1968,9468851
45,1972,10103675
45,1976,10756876
45,1980,11419350
45,1984,12078137
45,1988,12847712
45,1992,13719818
45,1996,14587367
45,2000,15342350
45,2004,16014972
45,2008,16708255
45,2012,17400359
45,2016,18209072
45,2020,19116209
46,Country,China
46,Country Code,CHN
46,1960,667070000
46,1964,698355000
46,1968,774510000
46,1972,862030000
46,1976,930685000
46,1980,981235000
46,1984,1036825000
46,1988,1101630000
46,1992,1164970000
46,1996,1217550000
46,2000,1262645000
46,2004,1296075000
46,2008,1324655000
46,2012,1350695000
46,2016,1378665000
46,2020,1402112000
47,Country,Colombia
47,Country Code,COL
47,1960,16057714
47,1964,18175187
47,1968,20393704
47,1972,22516429
47,1976,24608102
47,1980,26900508
47,1984,29331230
47,1988,31822527
47,1992,34422568
47,1996,37076387
47,2000,39629965
47,2004,42075953
47,2008,44254972
47,2012,46075721
47,2016,48175048
47,2020,50882884
48,Country,Comoros
48,Country Code,COM
48,1960,191122
48,1964,203762
48,1968,220574
48,1972,239229
48,1976,265958
48,1980,307831
48,1984,345455
48,1988,387964
48,1992,436454
48,1996,488625
48,2000,542358
48,2004,597230
48,2008,657227
48,2012,723865
48,2016,795597
48,2020,869595
49,Country,"Congo, Dem. Rep."
49,Country Code,COD
49,1960,15248256
49,1964,16903830
49,1968,18913874
49,1972,21121360
49,1976,23560470
49,1980,26358905
49,1984,29119663
49,1988,32443784
49,1992,37333917
49,1996,42757239
49,2000,47105830
49,2004,53068869
49,2008,60411195
49,2012,69020749
49,2016,78789130
49,2020,89561404
50,Country,"Congo, Rep."
